Question,Answer
How many sick leaves are allowed per year in detail??,Employees can avail 12 sick leaves per year.
How many sick leaves are allowed per year please??,Employees can avail 12 sick leaves per year.
What is the annual paid leave policy please??,Employees get 18 paid leaves annually.
How many sick leaves are allowed per year please??,Employees can avail 12 sick leaves per year.
How many sick leaves are allowed per year in detail??,Employees can avail 12 sick leaves per year.
How many sick leaves are allowed per year in detail??,Employees can avail 12 sick leaves per year.
How many casual leaves are available kindly tell me??,Employees are entitled to 6 casual leaves annually.
What is the annual paid leave policy kindly tell me??,Employees get 18 paid leaves annually.
How many casual leaves are available as per policy??,Employees are entitled to 6 casual leaves annually.
What is the annual paid leave policy kindly tell me??,Employees get 18 paid leaves annually.
How many casual leaves are available kindly tell me??,Employees are entitled to 6 casual leaves annually.
What is the annual paid leave policy as per policy??,Employees get 18 paid leaves annually.
How many sick leaves are allowed per year kindly tell me??,Employees can avail 12 sick leaves per year.
How many casual leaves are available as per policy??,Employees are entitled to 6 casual leaves annually.
How many casual leaves are available in detail??,Employees are entitled to 6 casual leaves annually.
How many sick leaves are allowed per year?,Employees can avail 12 sick leaves per year.
What is the annual paid leave policy as per policy??,Employees get 18 paid leaves annually.
What is the annual paid leave policy please??,Employees get 18 paid leaves annually.
What is the annual paid leave policy in detail??,Employees get 18 paid leaves annually.
How many casual leaves are available as per policy??,Employees are entitled to 6 casual leaves annually.
How many casual leaves are available kindly tell me??,Employees are entitled to 6 casual leaves annually.
How many sick leaves are allowed per year?,Employees can avail 12 sick leaves per year.
How many casual leaves are available in detail??,Employees are entitled to 6 casual leaves annually.
What is the annual paid leave policy?,Employees get 18 paid leaves annually.
What is the annual paid leave policy please??,Employees get 18 paid leaves annually.
How many sick leaves are allowed per year in detail??,Employees can avail 12 sick leaves per year.
How many casual leaves are available as per policy??,Employees are entitled to 6 casual leaves annually.
How many sick leaves are allowed per year as per policy??,Employees can avail 12 sick leaves per year.
How many casual leaves are available?,Employees are entitled to 6 casual leaves annually.
How many casual leaves are available please??,Employees are entitled to 6 casual leaves annually.
How is late coming handled?,Employees are allowed 3 late marks per month.
What are the office working hours?,"Our office timings are 9 AM to 6 PM, Monday to Friday."
How is late coming handled as per policy??,Employees are allowed 3 late marks per month.
How is late coming handled please??,Employees are allowed 3 late marks per month.
What are the office working hours kindly tell me??,"Our office timings are 9 AM to 6 PM, Monday to Friday."
What are the office working hours as per policy??,"Our office timings are 9 AM to 6 PM, Monday to Friday."
What are the office working hours as per policy??,"Our office timings are 9 AM to 6 PM, Monday to Friday."
Is flexible working allowed please??,"Yes, employees can log in between 8 AM and 10 AM."
Is flexible working allowed in detail??,"Yes, employees can log in between 8 AM and 10 AM."
What are the office working hours as per policy??,"Our office timings are 9 AM to 6 PM, Monday to Friday."
What are the office working hours in detail??,"Our office timings are 9 AM to 6 PM, Monday to Friday."
Is flexible working allowed in detail??,"Yes, employees can log in between 8 AM and 10 AM."
What are the office working hours kindly tell me??,"Our office timings are 9 AM to 6 PM, Monday to Friday."
Is flexible working allowed please??,"Yes, employees can log in between 8 AM and 10 AM."
How is late coming handled in detail??,Employees are allowed 3 late marks per month.
What are the office working hours?,"Our office timings are 9 AM to 6 PM, Monday to Friday."
Is flexible working allowed in detail??,"Yes, employees can log in between 8 AM and 10 AM."
Is flexible working allowed as per policy??,"Yes, employees can log in between 8 AM and 10 AM."
Is flexible working allowed in detail??,"Yes, employees can log in between 8 AM and 10 AM."
What are the office working hours in detail??,"Our office timings are 9 AM to 6 PM, Monday to Friday."
What are the office working hours as per policy??,"Our office timings are 9 AM to 6 PM, Monday to Friday."
What are the office working hours in detail??,"Our office timings are 9 AM to 6 PM, Monday to Friday."
How is late coming handled?,Employees are allowed 3 late marks per month.
What are the office working hours please??,"Our office timings are 9 AM to 6 PM, Monday to Friday."
Is flexible working allowed kindly tell me??,"Yes, employees can log in between 8 AM and 10 AM."
How is late coming handled please??,Employees are allowed 3 late marks per month.
Is flexible working allowed in detail??,"Yes, employees can log in between 8 AM and 10 AM."
Is flexible working allowed kindly tell me??,"Yes, employees can log in between 8 AM and 10 AM."
What are the office working hours as per policy??,"Our office timings are 9 AM to 6 PM, Monday to Friday."
Is flexible working allowed as per policy??,"Yes, employees can log in between 8 AM and 10 AM."
Is there an annual bonus as per policy??,"Yes, employees are eligible for annual performance-based bonuses."
Is there an annual bonus as per policy??,"Yes, employees are eligible for annual performance-based bonuses."
Are interns paid as per policy??,"Yes, interns receive a monthly stipend."
Is there an annual bonus?,"Yes, employees are eligible for annual performance-based bonuses."
When is salary credited as per policy??,Salary is credited on the last working day of every month.
Are interns paid kindly tell me??,"Yes, interns receive a monthly stipend."
When is salary credited as per policy??,Salary is credited on the last working day of every month.
Are interns paid in detail??,"Yes, interns receive a monthly stipend."
Is there an annual bonus?,"Yes, employees are eligible for annual performance-based bonuses."
When is salary credited?,Salary is credited on the last working day of every month.
When is salary credited please??,Salary is credited on the last working day of every month.
Are interns paid as per policy??,"Yes, interns receive a monthly stipend."
Is there an annual bonus?,"Yes, employees are eligible for annual performance-based bonuses."
Is there an annual bonus as per policy??,"Yes, employees are eligible for annual performance-based bonuses."
Are interns paid?,"Yes, interns receive a monthly stipend."
When is salary credited please??,Salary is credited on the last working day of every month.
Are interns paid please??,"Yes, interns receive a monthly stipend."
When is salary credited kindly tell me??,Salary is credited on the last working day of every month.
When is salary credited?,Salary is credited on the last working day of every month.
Is there an annual bonus kindly tell me??,"Yes, employees are eligible for annual performance-based bonuses."
Is there an annual bonus in detail??,"Yes, employees are eligible for annual performance-based bonuses."
Is there an annual bonus please??,"Yes, employees are eligible for annual performance-based bonuses."
Is there an annual bonus as per policy??,"Yes, employees are eligible for annual performance-based bonuses."
When is salary credited?,Salary is credited on the last working day of every month.
When is salary credited as per policy??,Salary is credited on the last working day of every month.
When is salary credited kindly tell me??,Salary is credited on the last working day of every month.
Is there an annual bonus please??,"Yes, employees are eligible for annual performance-based bonuses."
Are interns paid as per policy??,"Yes, interns receive a monthly stipend."
Are interns paid?,"Yes, interns receive a monthly stipend."
Are interns paid kindly tell me??,"Yes, interns receive a monthly stipend."
Is there a probation period as per policy??,"Yes, the probation period is 3 months for new employees."
Is there a probation period kindly tell me??,"Yes, the probation period is 3 months for new employees."
Is there a probation period kindly tell me??,"Yes, the probation period is 3 months for new employees."
Is there a probation period kindly tell me??,"Yes, the probation period is 3 months for new employees."
What is the notice period kindly tell me??,Employees need to serve a 60-day notice period.
What is the notice period please??,Employees need to serve a 60-day notice period.
Is there a probation period as per policy??,"Yes, the probation period is 3 months for new employees."
Is there a probation period in detail??,"Yes, the probation period is 3 months for new employees."
Is there a probation period in detail??,"Yes, the probation period is 3 months for new employees."
What is the notice period?,Employees need to serve a 60-day notice period.
What is the notice period kindly tell me??,Employees need to serve a 60-day notice period.
Is there a probation period in detail??,"Yes, the probation period is 3 months for new employees."
Is there a probation period?,"Yes, the probation period is 3 months for new employees."
Is there a probation period as per policy??,"Yes, the probation period is 3 months for new employees."
What is the notice period please??,Employees need to serve a 60-day notice period.
Is there a probation period?,"Yes, the probation period is 3 months for new employees."
Is there a probation period kindly tell me??,"Yes, the probation period is 3 months for new employees."
Is there a probation period as per policy??,"Yes, the probation period is 3 months for new employees."
What is the notice period as per policy??,Employees need to serve a 60-day notice period.
What is the notice period?,Employees need to serve a 60-day notice period.
Is there a probation period please??,"Yes, the probation period is 3 months for new employees."
What is the notice period kindly tell me??,Employees need to serve a 60-day notice period.
What is the notice period?,Employees need to serve a 60-day notice period.
What is the notice period kindly tell me??,Employees need to serve a 60-day notice period.
What is the notice period?,Employees need to serve a 60-day notice period.
What is the notice period kindly tell me??,Employees need to serve a 60-day notice period.
What is the notice period?,Employees need to serve a 60-day notice period.
Is there a probation period kindly tell me??,"Yes, the probation period is 3 months for new employees."
Is there a probation period?,"Yes, the probation period is 3 months for new employees."
What is the notice period in detail??,Employees need to serve a 60-day notice period.
Do we have health insurance in detail??,"Yes, all employees are covered under the company’s group health insurance policy."
Are dependents covered in health insurance kindly tell me??,"Yes, dependents are also covered in the insurance policy."
Are dependents covered in health insurance as per policy??,"Yes, dependents are also covered in the insurance policy."
Are dependents covered in health insurance please??,"Yes, dependents are also covered in the insurance policy."
Do we have health insurance please??,"Yes, all employees are covered under the company’s group health insurance policy."
Are dependents covered in health insurance please??,"Yes, dependents are also covered in the insurance policy."
Are dependents covered in health insurance?,"Yes, dependents are also covered in the insurance policy."
Do we have health insurance?,"Yes, all employees are covered under the company’s group health insurance policy."
Are dependents covered in health insurance please??,"Yes, dependents are also covered in the insurance policy."
Are dependents covered in health insurance in detail??,"Yes, dependents are also covered in the insurance policy."
Are dependents covered in health insurance?,"Yes, dependents are also covered in the insurance policy."
Are dependents covered in health insurance as per policy??,"Yes, dependents are also covered in the insurance policy."
Do we have health insurance?,"Yes, all employees are covered under the company’s group health insurance policy."
Are dependents covered in health insurance in detail??,"Yes, dependents are also covered in the insurance policy."
Are dependents covered in health insurance please??,"Yes, dependents are also covered in the insurance policy."
Are dependents covered in health insurance kindly tell me??,"Yes, dependents are also covered in the insurance policy."
Do we have health insurance as per policy??,"Yes, all employees are covered under the company’s group health insurance policy."
Do we have health insurance?,"Yes, all employees are covered under the company’s group health insurance policy."
Are dependents covered in health insurance please??,"Yes, dependents are also covered in the insurance policy."
Do we have health insurance as per policy??,"Yes, all employees are covered under the company’s group health insurance policy."
Do we have health insurance as per policy??,"Yes, all employees are covered under the company’s group health insurance policy."
Do we have health insurance as per policy??,"Yes, all employees are covered under the company’s group health insurance policy."
Do we have health insurance kindly tell me??,"Yes, all employees are covered under the company’s group health insurance policy."
Do we have health insurance as per policy??,"Yes, all employees are covered under the company’s group health insurance policy."
Do we have health insurance in detail??,"Yes, all employees are covered under the company’s group health insurance policy."
Do we have health insurance?,"Yes, all employees are covered under the company’s group health insurance policy."
Are dependents covered in health insurance please??,"Yes, dependents are also covered in the insurance policy."
Do we have health insurance as per policy??,"Yes, all employees are covered under the company’s group health insurance policy."
Are dependents covered in health insurance as per policy??,"Yes, dependents are also covered in the insurance policy."
Do we have health insurance?,"Yes, all employees are covered under the company’s group health insurance policy."
Do we have a work from home option please??,"Yes, employees can avail 2 work from home days per month with manager approval."
Can we request permanent remote work please??,Permanent remote work depends on business requirements and manager approval.
Do we have a work from home option as per policy??,"Yes, employees can avail 2 work from home days per month with manager approval."
Can we request permanent remote work kindly tell me??,Permanent remote work depends on business requirements and manager approval.
Can we request permanent remote work please??,Permanent remote work depends on business requirements and manager approval.
Can we request permanent remote work as per policy??,Permanent remote work depends on business requirements and manager approval.
Can we request permanent remote work as per policy??,Permanent remote work depends on business requirements and manager approval.
Do we have a work from home option in detail??,"Yes, employees can avail 2 work from home days per month with manager approval."
Do we have a work from home option please??,"Yes, employees can avail 2 work from home days per month with manager approval."
Do we have a work from home option please??,"Yes, employees can avail 2 work from home days per month with manager approval."
Do we have a work from home option please??,"Yes, employees can avail 2 work from home days per month with manager approval."
Can we request permanent remote work in detail??,Permanent remote work depends on business requirements and manager approval.
Can we request permanent remote work in detail??,Permanent remote work depends on business requirements and manager approval.
Do we have a work from home option as per policy??,"Yes, employees can avail 2 work from home days per month with manager approval."
Do we have a work from home option in detail??,"Yes, employees can avail 2 work from home days per month with manager approval."
Do we have a work from home option?,"Yes, employees can avail 2 work from home days per month with manager approval."
Can we request permanent remote work kindly tell me??,Permanent remote work depends on business requirements and manager approval.
Can we request permanent remote work kindly tell me??,Permanent remote work depends on business requirements and manager approval.
Can we request permanent remote work please??,Permanent remote work depends on business requirements and manager approval.
Can we request permanent remote work in detail??,Permanent remote work depends on business requirements and manager approval.
Can we request permanent remote work kindly tell me??,Permanent remote work depends on business requirements and manager approval.
Do we have a work from home option as per policy??,"Yes, employees can avail 2 work from home days per month with manager approval."
Do we have a work from home option kindly tell me??,"Yes, employees can avail 2 work from home days per month with manager approval."
Can we request permanent remote work kindly tell me??,Permanent remote work depends on business requirements and manager approval.
Can we request permanent remote work please??,Permanent remote work depends on business requirements and manager approval.
Can we request permanent remote work kindly tell me??,Permanent remote work depends on business requirements and manager approval.
Do we have a work from home option in detail??,"Yes, employees can avail 2 work from home days per month with manager approval."
Do we have a work from home option?,"Yes, employees can avail 2 work from home days per month with manager approval."
Do we have a work from home option please??,"Yes, employees can avail 2 work from home days per month with manager approval."
Can we request permanent remote work please??,Permanent remote work depends on business requirements and manager approval.
How many vacation days are provided in detail??,Employees receive 15 vacation days annually.
Are there national holidays please??,"Yes, we observe 10 national holidays in a year."
How many vacation days are provided kindly tell me??,Employees receive 15 vacation days annually.
Are there national holidays as per policy??,"Yes, we observe 10 national holidays in a year."
How many vacation days are provided in detail??,Employees receive 15 vacation days annually.
Are there national holidays kindly tell me??,"Yes, we observe 10 national holidays in a year."
How many vacation days are provided in detail??,Employees receive 15 vacation days annually.
Are there national holidays as per policy??,"Yes, we observe 10 national holidays in a year."
How many vacation days are provided please??,Employees receive 15 vacation days annually.
How many vacation days are provided kindly tell me??,Employees receive 15 vacation days annually.
Are there national holidays kindly tell me??,"Yes, we observe 10 national holidays in a year."
Are there national holidays kindly tell me??,"Yes, we observe 10 national holidays in a year."
Are there national holidays as per policy??,"Yes, we observe 10 national holidays in a year."
How many vacation days are provided in detail??,Employees receive 15 vacation days annually.
How many vacation days are provided as per policy??,Employees receive 15 vacation days annually.
How many vacation days are provided?,Employees receive 15 vacation days annually.
How many vacation days are provided?,Employees receive 15 vacation days annually.
How many vacation days are provided please??,Employees receive 15 vacation days annually.
Are there national holidays in detail??,"Yes, we observe 10 national holidays in a year."
How many vacation days are provided?,Employees receive 15 vacation days annually.
Are there national holidays as per policy??,"Yes, we observe 10 national holidays in a year."
How many vacation days are provided?,Employees receive 15 vacation days annually.
Are there national holidays in detail??,"Yes, we observe 10 national holidays in a year."
Are there national holidays as per policy??,"Yes, we observe 10 national holidays in a year."
How many vacation days are provided as per policy??,Employees receive 15 vacation days annually.
How many vacation days are provided kindly tell me??,Employees receive 15 vacation days annually.
How many vacation days are provided kindly tell me??,Employees receive 15 vacation days annually.
Are there national holidays kindly tell me??,"Yes, we observe 10 national holidays in a year."
Are there national holidays kindly tell me??,"Yes, we observe 10 national holidays in a year."
How many vacation days are provided in detail??,Employees receive 15 vacation days annually.
Do we get paternity leave in detail??,"Yes, male employees get 10 days of paternity leave."
Do we get maternity leave?,"Yes, female employees get 26 weeks of maternity leave."
Do we get paternity leave kindly tell me??,"Yes, male employees get 10 days of paternity leave."
Do we get paternity leave?,"Yes, male employees get 10 days of paternity leave."
Do we get paternity leave?,"Yes, male employees get 10 days of paternity leave."
Do we get paternity leave in detail??,"Yes, male employees get 10 days of paternity leave."
Do we get maternity leave kindly tell me??,"Yes, female employees get 26 weeks of maternity leave."
Do we get maternity leave kindly tell me??,"Yes, female employees get 26 weeks of maternity leave."
Do we get maternity leave as per policy??,"Yes, female employees get 26 weeks of maternity leave."
Do we get maternity leave in detail??,"Yes, female employees get 26 weeks of maternity leave."
Do we get maternity leave in detail??,"Yes, female employees get 26 weeks of maternity leave."
Do we get paternity leave in detail??,"Yes, male employees get 10 days of paternity leave."
Do we get maternity leave kindly tell me??,"Yes, female employees get 26 weeks of maternity leave."
Do we get maternity leave as per policy??,"Yes, female employees get 26 weeks of maternity leave."
Do we get paternity leave please??,"Yes, male employees get 10 days of paternity leave."
Do we get maternity leave kindly tell me??,"Yes, female employees get 26 weeks of maternity leave."
Do we get maternity leave?,"Yes, female employees get 26 weeks of maternity leave."
Do we get paternity leave?,"Yes, male employees get 10 days of paternity leave."
